"Customer_ID","InvoiceNo","InvoiceDate","Unit_Price","Quantity","LastPurchaseDate","Recency","Frequency","Monetary","Total.Spent","RecencyScore","FrequencyScore","MonetaryScore","REC.SCR.normalized","FRQ.SCR.normallized","MON.SCR.normalized","RFM","Country","Cluster"
18935,559686,"28/11/2010"," $7.16 ",8,"28/11/2010",399,1," $57.28 "," $57.28 ",878,1,2546,2,1,1,4,"Colombia",1
17986,559686,"26/05/2010"," $11.73 ",2,"26/05/2010",585,1," $23.46 "," $23.46 ",273,1,1034,1,1,1,3,"Philippines",1
18889,559686,"04/06/2011"," $10.60 ",3,"04/06/2011",211,2," $91.56 "," $31.80 ",4894,1319,3726,4,3,2,9,"Denmark",2
18327,559686,"22/10/2011"," $3.28 ",7,"22/10/2011",71,2," $28.16 "," $22.96 ",9704,1319,1287,5,3,1,9,"Indonesia",2
18829,559686,"06/08/2010"," $8.05 ",2,"23/11/2011",39,5," $213.60 "," $16.10 ",11434,9496,6167,5,5,3,13,"Brazil",3
18955,559686,"04/02/2010"," $6.35 ",7,"04/02/2010",696,3," $101.45 "," $44.45 ",47,3741,4003,1,4,2,7,"Portugal",1
18590,559686,"06/09/2011"," $6.47 ",4,"06/09/2011",117,3," $179.06 "," $25.88 ",7787,3741,5630,5,4,3,12,"Honduras",3
18551,559686,"17/05/2011"," $9.30 ",10,"18/11/2011",44,2," $165.84 "," $93.00 ",11066,1319,5433,5,3,2,10,"Luxembourg",2
18102,559686,"06/12/2010"," $1.29 ",9,"16/11/2011",46,4," $282.75 "," $11.61 ",10972,6825,6947,5,5,3,13,"Nicaragua",3
18779,559686,"28/08/2011"," $3.76 ",4,"28/08/2011",126,2," $275.96 "," $15.04 ",7450,1319,6890,5,3,3,11,"Philippines",2
18219,559686,"13/11/2011"," $6.21 ",11,"13/11/2011",49,5," $712.07 "," $68.31 ",10813,9491,9203,5,5,4,14,"Mexico",3
18084,559686,"15/01/2010"," $8.76 ",4,"15/01/2010",716,1," $35.04 "," $35.04 ",16,1,1583,1,1,1,3,"Indonesia",1
18130,559686,"08/05/2011"," $5.99 ",9,"08/05/2011",238,2," $114.39 "," $53.91 ",4281,1318,4350,4,3,2,9,"Ecuador",2
18566,559686,"22/03/2011"," $3.03 ",12,"05/08/2011",149,2," $68.44 "," $36.36 ",6667,1318,2979,5,3,2,10,"Russia",2
18164,559686,"02/03/2011"," $6.14 ",6,"30/11/2011",32,4," $353.70 "," $36.84 ",11980,6821,7495,5,5,3,13,"Czech Republic",3
18919,559686,"25/10/2011"," $11.39 ",10,"25/10/2011",68,1," $113.90 "," $113.90 ",9841,1,4337,5,1,2,8,"Indonesia",2
